Day,Meal,Meal Type,Dish,Ingredients list,Cooking Notes,,,,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,honey,,1 cup,,,,,,,,x,,,,,
5,3D,,Bread & Cheese,bread,,,,,,,,,,,,,,,
5,3D,,Bread & Cheese,cheese,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,1B,Fast: Cereal,,banana bread,,2 Loaves,,,,,,x,,,x,CA,precooked,,
6,1B,Fast: Cereal,,margarine,,4 oz,,x,,,,,,,,CA,costco,,
6,1B,Fast: Cereal,,peanut butter,,8 oz,,,,,,,,x,,CA,costco,,
6,1B,Fast: Cereal,,nutella / cocoa almond butter ,,8 oz,,,,,,,,x,,CA,Costco/TJ,,
6,1B,Fast: Cereal,,cereal,,15 cups,,,,,x,,,,,CA,costco,,
6,1B,Fast: Cereal,,granola,,5 cups,,,,,x,,,,x,CA,precooked,,
6,1B,Fast: Cereal,,milk dried ,,2 qt dry,,,,,,,,x,,CA,costco,,
6,1B,Fast: Cereal,,almond milk sweetened,,1 qt,,,,,x,,,,,CA,costco,,
6,1B,Fast: Cereal,,rice milk,,1 qt,,,,,x,,,,,CA,costco?,,
6,1B,Fast: Cereal,,yogurt,,16 oz,,x,,,,,,,,AZ,,,
6,1B,Fast: Cereal,,craisins,,8 oz,,,,,x,,,,,CA,costco,,
6,1B,Fast: Cereal,,honeydew melon,,1 large/2small,,,,x,,,,,,AZ,,,
6,1B,Fast: Cereal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
6,1B,Fast: Cereal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
6,1B,Fast: Cereal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
6,1B,Fast: Cereal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
6,1B,Fast: Cereal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
6,2L,Deli Lunch,,sliced breads,,~40 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
6,2L,Deli Lunch,,tortillas,,12,,,,,,,,,,,,, (good kind aka. non-mission brand)
6,2L,Deli Lunch,,red onion,,1 large,,,x,,,,,,,AZ,,,
6,2L,Deli Lunch,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
6,2L,Deli Lunch,,spicy mustard,,1/2 jar,,x,,,,,,,,CA,,,
6,2L,Deli Lunch,,tomatoes,,4 large,,x,,,,,,,,AZ,,,
6,2L,Deli Lunch,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
6,2L,Deli Lunch,,romaine lettuce,,1/2 head,,x,,,,,,,,AZ,,,
6,2L,Deli Lunch,,mayonaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
6,2L,Deli Lunch,,peanut butter,,8 oz,,,,,x,,,,,CA,TJ's,,
6,2L,Deli Lunch,,jam,,8 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
6,2L,Deli Lunch,,oranges,,6,,,x,,,,,,,AZ,,,
6,2L,Deli Lunch,,salt and vinegar potato chips (or something else delicious),,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
6,2L,Deli Lunch,,terra sweet potato/root veggie chips,,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
6,2L,Deli Lunch,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
6,2L,Deli Lunch,,sliced turkey lunchmeat,,3 packages,,x,,,,,,,,AZ,,,"Sustainable, please!"
6,2L,Deli Lunch,,"marinated, baked tofu",,4 packages,,x,,,,,,,,AZ,TJ's/whofo,,e.g. wildwood
6,2L,Deli Lunch,,hummus,,1 large tub,,x,,,,,,,,AZ,TJ's,,
6,2L,Deli Lunch,,cucumber,,1,,x,,,,,,,,AZ,,,
6,2L,Deli Lunch,,baby carrots,for dipping in hummus,1 bag,,x,,,,,,,,AZ,,,
6,2L,Deli Lunch,,"some kind of delicious spread (olive tapenade, pesto, roasted red pepper spread...)",,1 jar,,,,,x,,,,,CA,,,refridgerate after opening
,,,,,,,,,,,,,,,,,,,
6,3D,,Ground Nut Stew,veggie stock,preferably frozen,2 32 oz boxes,x,,,,,,,,,CA,costco/TJ's,,"freeze ahead of time, and bring in van"
6,3D,,Ground Nut Stew,canola oil,for cooking,1/4 cup,,,,,,,,x,,CA,box,,
6,3D,,Ground Nut Stew,yellow onion,,3,,,x,,,,,,,CA,TJ's,,
6,3D,,Ground Nut Stew,cans of crushed tomatoes,,2 15 oz cans,,,,,x,,,,,CA,Costco/TJ's,,
6,3D,,Ground Nut Stew,canned hominy,,~45 oz,,,,,x,,,,,CA,Baja Ranch!!,X,Ana's bringing
6,3D,,Ground Nut Stew,peanut butter,,2 cups,,,,,x,,,,,CA,Costco/TJ's,,
6,3D,,Ground Nut Stew,salt,,,,,,,,,,x,,CA,box,,
6,3D,,Ground Nut Stew,crushed red pepper flakes,,1 tbsp,,,,,,,,x,,CA,costco,,
6,3D,,Ground Nut Stew,red bell peppers,,3,,x,,,,,,,,AZ,,,
6,3D,,Ground Nut Stew,fresh garlic,,1 head,,,x,,,,,,,AZ,,,Fresh
6,3D,,Ground Nut Stew,fresh cilantro,,,,,,,,,,,,,,,Fresh
6,3D,,Salad,romaine lettuce ,,1.5 heads,,x,,,,,,,,AZ,,,
6,3D,,Salad,carrots,,2,,x,,,,,,,,AZ,,,
6,3D,,Salad,salad dressing,premade,1.5 cups,,x,,,,,,,x,CA,,,
6,3D,,Salad,jicama ,,1/2 of one,,x,,,,,,,,AZ,,,
6,3D,,Salad,cucumber,,2,,x,,,,,,,,AZ,,,
6,3D,,,goat cheese,,1 small log (4 oz?),,x,,,,,,,,AZ,,,
6,3D,,Brownies,brownie mix,,1 (~30 oz),,,,,x,,,,,CA,,,the good kind!
6,3D,,Brownies,egg replacer,,3 tbs,,,,,,,,,,AZ,,,
6,3D,,Brownies,canola oil,,3/4 cup,,,,,x,,,,,CA,,,
,,,,,,,,,,,,,,,,,,,
7,1B,Fast: Oatmeal,,oatmeal,,6 cups,,,,,x,,,,,CA,costco,,
7,1B,Fast: Oatmeal,,granola,,10 cups,,,,,x,,,,x,CA,precooked,,
7,1B,Fast: Oatmeal,,cream of wheat,,2 cups,,,,,x,,,,,CA,costco,,
7,1B,Fast: Oatmeal,,almond milk sweetened,,1 qt,,,,,x,,,,,CA,costco,,
7,1B,Fast: Oatmeal,,"milk, dried  ",,2 qts dry,,,,,,,,x,,CA,,,
7,1B,Fast: Oatmeal,,yogurt,,1 32oz tub,,x,,,,,,,,AZ?,,,
7,1B,Fast: Oatmeal,,peanut butter,,10 oz,,,,,,,,x,,CA,costco,,
7,1B,Fast: Oatmeal,,nutella,,10 oz,,,,,,,,x,,CA,,,
7,1B,Fast: Oatmeal,,honey,,5 oz,,,,,,,,x,,CA,costco,,
7,1B,Fast: Oatmeal,,whole wheat english muffins,,12,,,,,,x,,,,AZ,,,
7,1B,Fast: Oatmeal,,almonds,,1/2  lb,,,,x,,,,,,CA,costco,,
7,1B,Fast: Oatmeal,,oranges,,12,,,,x,,,,,,AZ,,,
7,1B,Fast: Oatmeal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
7,1B,Fast: Oatmeal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
7,1B,Fast: Oatmeal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
7,1B,Fast: Oatmeal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
7,1B,Fast: Oatmeal,,brown sugar,,2 cups,,,,,,,,x,,CA,,,
7,1B,Fast: Oatmeal,,"cinnamon, nutmeg",,3 tablespoons,,,,,,,,x,,CA,,,
7,1B,Fast: Oatmeal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
7,2L,Deli Bar,,sliced breads,,~40 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
7,2L,Deli Bar,,tortillas,,16,,,,,,x,,,,AZ,,, (good kind aka. non-mission brand)
7,2L,Deli Bar,,red onion,,1 large,,,x,,,,,,,AZ,,,
7,2L,Deli Bar,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
7,2L,Deli Bar,,spicy mustard,,1/2 jar,,x,,,,,,,,CA,,,
7,2L,Deli Bar,,tomatoes,,4 large,,x,,,,,,,,AZ,,,
7,2L,Deli Bar,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
7,2L,Deli Bar,,romaine lettuce,,1/2 head,,x,,,,,,,,AZ,,,
7,2L,Deli Bar,,mayonaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
7,2L,Deli Bar,,peanut butter,,16 oz,,,,,x,,,,,CA,TJ's,,
7,2L,Deli Bar,,jam,,16 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
7,2L,Deli Bar,,oranges,,5,,,x,,,,,,,AZ,,,
7,2L,Deli Bar,,salt and vinegar potato chips (or something else delicious),,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
7,2L,Deli Bar,,terra sweet potato/root veggie chips,,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
7,2L,Deli Bar,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
7,2L,Deli Bar,,salame log,,1 small,,x,,,,,,,,AZ,,,"Unsliced/Let's try to buy sustainably raised meat, please."
7,2L,Deli Bar,,"marinated, baked tofu ",,3 packages),,x,,,,,,,,AZ,TJ's/whofo,,(e.g. wildwood)
7,2L,Deli Bar,,hummus,,1 large tub,,x,,,,,,,,AZ,TJ's,,
7,2L,Deli Bar,,cucumber,,1,,x,,,,,,,,AZ,,,
7,2L,Deli Bar,,baby carrots,for dipping in hummus,1 bag,,x,,,,,,,,AZ,,,
7,2L,Deli Bar,,roasted red pepper spread,,2 jars,,,,,x,,,,,CA,TJ's,,
,,,,,,,,,,,,,,,,,,,
7,3D,,Chili,canned kidney beans ,,~60 oz,,,,,x,,,,,CA,costco/TJ's,,
7,3D,,Chili,canned pinto beans,,~15 oz,,,,,x,,,,,CA,costco/TJ's,,
7,3D,,Chili,canned black beans,,~45 oz,,,,,x,,,,,CA,costco/TJ's,,
7,3D,,Chili,hominy,,(whatever's left over from ground nut stew on night 6),,x,,,,,,,,CA,baja ranch,X,Ana's bringing
7,3D,,Chili,canned fire roasted tomatoes,,~60 oz,,,,,x,,,,,CA,costco/TJ's,,
7,3D,,Chili,beer,,2 bottles,,,,,x,,,,,sara?,sara?,,
7,3D,,Chili,cocoa powder,,~1/4 cup?,,,,,,,,x,,CA,box,,
7,3D,,Chili,poblano peppers,,3,,x,,,,,,,,AZ,,,
7,3D,,Chili,red onion,,3,,,x,,,,,,,AZ,,,
7,3D,,Chili,carrot,,4,,x,,,,,,,,AZ,,,
7,3D,,Chili,chili powder ,,~1/2 cup,,,,,,,,x,,CA,?,,"(spice blend, not too spicy)"
7,3D,,Chili,cumin,,2 tbsp,,,,,,,,x,,CA,box,,
7,3D,,Chili,paprika,,1/4 cup,,,,,,,,x,,CA,box,,
7,3D,,Chili,chipotle pepper,,1/4 cup,,,,,,,,x,,CA,?,,"dried, ground"
7,3D,,Chili,zucchini,,3,,x,,,,,,,,AZ,,,
7,3D,,Chili,cheddar cheese,,16 oz,,x,,,,,,,,AZ,,,
7,3D,,Chili,sour cream or yogurt,,20 oz,,x,,,,,,,,AZ,,,
7,3D,,Chili,avocado,,5 avocados,,x,,,,,,,,AZ,,,
7,3D,,Chili,canned corn,,15 oz,,,,,x,,,,,CA,costco/TJ's,,
7,3D,,Cornbread,canned corn,,15 oz,,,,,x,,,,,CA,costco/TJ's,,
7,3D,,Cornbread,honey,,1/2 cup,,,,,,,,x,,box,,,
7,3D,,Cornbread,butter,,1/2 stick,,x,,,,,,,,AZ,,,
7,3D,,Cornbread,cornbread mix ,"(dehydrated milk, wheat flour, corn meal, baking powder, sugar)",1 bag = 16 servings,,,,,x,,,,,premade,,,
7,3D,,Cornbread,egg replacer,,4 tbs,,x,,,,,,,,AZ,,,
7,3D,,Cornbread,yogurt ,optional,2 cups,,x,,,,,,,,AZ,,,
7,3D,,Carrot Cabbage Salad,red cabbage,,1,,x,,,,,,,,AZ,,,
7,3D,,Carrot Cabbage Salad,carrots,,5 big carrots,,x,,,,,,,,AZ,,,
7,3D,,Carrot Cabbage Salad,raisins,,1 cup,,,,x,,,,,,CA,box,,
7,3D,,Carrot Cabbage Salad,salad dressing,,1 cup,,x,,,,,,,x,make in ca,,,
,,,,,,,,,,,,,,,,,,,
8,1B,Fast: Bagels,,bagels,,18,,,,,,x,,,,AZ,,,
8,1B,Fast: Bagels,,whole wheat english muffins,,12,,,,,,x,,,,AZ,,,
8,1B,Fast: Bagels,,peanut butter,,12 oz,,,,,,,,x,,CA,costco,,
8,1B,Fast: Bagels,,nutella,,8 oz,,,,,,,,x,,CA,,,
8,1B,Fast: Bagels,,speculous cookie butter,,8oz,,,,,,,,x,,CA,TJ's,,
8,1B,Fast: Bagels,,honey,,5 oz,,,,,,,,x,,CA,costco,,
8,1B,Fast: Bagels,,cucumbers,,3,,x,,,,,,,,az,,,
8,1B,Fast: Bagels,,capers,,16 oz,,,,,x,,,,,ca,costco,,
8,1B,Fast: Bagels,,cream cheese,,750 g,,x,,,,,,,,,,,
8,1B,Fast: Bagels,,jam,,10 oz,,,,,,,,x,,CA,,,
8,1B,Fast: Bagels,,soy milk,,1 qt,,,,,x,,,,,CA,costco,,
8,1B,Fast: Bagels,,"milk, dried  ",,1 qt dry,,,,,,,,x,,CA,,,
8,1B,Fast: Bagels,,nuts almonds,,1/2  lb,,,,,,,x,,,CA,costco,,
8,1B,Fast: Bagels,,bananas,,12,,,,x,,,,,,AZ,,,
8,1B,Fast: Bagels,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
8,1B,Fast: Bagels,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
8,1B,Fast: Bagels,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
8,1B,Fast: Bagels,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
8,1B,Fast: Bagels,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
8,2L,Deli Bar,,sliced breads,,~32 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
8,2L,Deli Bar,,tortillas,,16,,,,,,x,,,,AZ,,, (good kind aka. non-mission brand)
8,2L,Deli Bar,,red onion,,1 large,,,x,,,,,,,AZ,,,
8,2L,Deli Bar,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
8,2L,Deli Bar,,spicy mustard,,1/2 jar,,x,,,,,,,,CA,,,
8,2L,Deli Bar,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
8,2L,Deli Bar,,iceburg lettuce,,1/2 head,,x,,,,,,,,AZ,,,
8,2L,Deli Bar,,mayonaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
8,2L,Deli Bar,,tomatoes,,4 large,,x,,,,,,,,AZ,,,
8,2L,Deli Bar,,peanut butter,,16 oz,,,,,x,,,,,CA,TJ's,,
8,2L,Deli Bar,,jam,,16 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
8,2L,Deli Bar,,oranges,,5,,,x,,,,,,,AZ,,,
8,2L,Deli Bar,,apples,,6,,,x,,,,,,,AZ,,,
8,2L,Deli Bar,,salt and vinegar potato chips (or something else delicious),,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
8,2L,Deli Bar,,terra sweet potato/root veggie chips,,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
8,2L,Deli Bar,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
8,2L,Deli Bar,,salame log,,1 small,,x,,,,,,,,AZ,,,"Unsliced/Let's try to buy sustainably raised meat, please."
8,2L,Deli Bar,,"marinated, baked tofu ",,4 packages,,x,,,,,,,,AZ,TJ's/whofo,,eg: wildwood
8,2L,Deli Bar,,hummus,,1 large tub,,x,,,,,,,,AZ,TJ's,,
8,2L,Deli Bar,,cucumber,,1,,x,,,,,,,,AZ,,,
8,2L,Deli Bar,,baby carrots ,for dipping in hummus,1 bag,,x,,,,,,,,AZ,,,
8,2L,Deli Bar,,"variety of delicious spreads (e.g. tapenade, chutney, roasted pepper spread, pesto...)",,2 12 oz jars,,,,,x,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,3D,,Fancy Mac&Cheese,annie's mac&cheese,,66 oz,,,,,x,,,,,CA,costco,,
8,3D,,Fancy Mac&Cheese,pepperjack cheese,,16 oz,,x,,,,,,,,CA,costco/TJ's,,
8,3D,,Fancy Mac&Cheese,milk,,2 cups,,x,,,,,,,,AZ,,,
8,3D,,Fancy Mac&Cheese,red bell peppers,,4,,x,,,,,,,,AZ,,,
8,3D,,Fancy Mac&Cheese,red onion,,3,,,x,,,,,,,CA,,,
8,3D,,Fancy Mac&Cheese,dried basil flakes,,1/4 cup,,,,,,,,x,,CA,box,,
8,3D,,Fancy Mac&Cheese,chili flakes,,2 tbsp,,,,,,,,x,,CA,?,,
8,3D,,Salad,romaine lettuce,,1.5 heads,,x,,,,,,,,AZ,,,
8,3D,,Salad,carrots,,4,,x,,,,,,,,AZ,,,
8,3D,,Salad,jicama,,1/2 of one,,x,,,,,,,,AZ,,,
8,3D,,Salad,cucumbers,,2,,x,,,,,,,,AZ,,,
8,3D,,Salad,salad dressing,,1 cup,,x,,,,,,,x,CA,pre-make,,
8,3D,,Salad,toasted almonds,,2 cups,,,,,x,,,,,CA,costco/TJ's,,
8,3D,,Dessert,tj cookies,,1 box,,,,,x,,,,,CA,TJ's,,
,,,,,,,,,,,,,,,,,,,
9,1B,Fast: Cereal,,banana bread,,2 Loaves,,,,,,x,,,x,CA,,,
9,1B,Fast: Cereal,,margarine,,4 oz,,x,,,,,,,,CA,costco,,
9,1B,Fast: Cereal,,peanut butter,,8 oz,,,,,,,,x,,CA,costco,,
9,1B,Fast: Cereal,,cereal,,15 cups,,,,,x,,,,,CA,costco,,
9,1B,Fast: Cereal,,granola,,5 cups,,,,,x,,,,x,CA,,,
9,1B,Fast: Cereal,,milk dried ,,2 qt dry,,,,,,,,x,,CA,,,
9,1B,Fast: Cereal,,almond milk,,1 qt,,,,,x,,,,,CA,costco,,
9,1B,Fast: Cereal,,rice milk,,1 qt,,,,,x,,,,,CA,,,
9,1B,Fast: Cereal,,yogurt,,16 oz,,x,,,,,,,,AZ,,,
9,1B,Fast: Cereal,,craisins,,8 oz,,,,,x,,,,,CA,costco,,
9,1B,Fast: Cereal,,oranges,,12,,,,x,,,,,,AZ,,,
9,1B,Fast: Cereal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
9,1B,Fast: Cereal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
9,1B,Fast: Cereal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
9,1B,Fast: Cereal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
9,1B,Fast: Cereal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
9,2L,PB&J,,peanut butter,,32 oz,,,,,x,,,,,,,,
9,2L,PB&J,,almond butter,,16 oz,,,,,x,,,,,,,,
9,2L,PB&J,,jam,,32 oz,,x,,,,,,,,,,,
9,2L,PB&J,,sliced breads,,~32 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
9,2L,PB&J,,tortillas,,20,,,,,,,,,,,,, (good kind aka. non-mission brand)
9,2L,PB&J,,honey,,16 oz,,,,,,,,x,,,,,
9,2L,PB&J,,nutella,,7 oz,,,,,x,,,,,,,,
9,2L,PB&J,,oranges,,5,,,x,,,,,,,AZ,,,
9,2L,PB&J,,apples,,4,,,x,,,,,,,AZ,,,
9,2L,PB&J,,chips,,2,,,,,,,x,,,AZ,,,variety
9,2L,PB&J,,pickles,,15 pickles,,,,,x,,,,,CA,,,refrigerate after opening
9,2L,PB&J,,celery ,,1 bunch,,x,,,,,,,,AZ,,,
,,,,,,,,,,,,,,,,,,,
9,3D,,Burritos,black beans,,6 cups dry,,,,,x,,,,,CA,,,
9,3D,,Burritos,onion,,3,,,x,,,,,,,CA,costco,,
9,3D,,Burritos,cumin * chili powder * garlic * salt ,,cond,,,,,,,,x,,CA,,,
9,3D,,Burritos,garlic cloves            ,,3,,,x,,,,,,,AZ,,,
9,3D,,Burritos,flour tortillas,,24,,,,,,x,,,,,,,
9,3D,,Burritos,tapatio,,cond,,,,,,,,x,,CA,,,
9,3D,,Burritos,white rice,,4 cups,,,,,x,,,,,CA,,,
9,3D,,Burritos,diced tomatoes,,3 cans,,,,,x,,,,,CA,,,
9,3D,,Burritos,canned green chilis and tomaotes,,2 small cans,,,,,x,,,,,CA,,,
9,3D,,Burritos,zucinni,,4large/5small,,x,,,,,,,,AZ,,,
9,3D,,Burritos,corn,,2 cans,,,,,x,,,,,CA,,,
9,3D,,Burritos,red bell pepper,,2,,x,,,,,,,,CA,,,
9,3D,,Burritos,cilantro,,1 bunch,,x,,,,,,,,AZ,,,
9,3D,,Burritos,tomatoes,,5,,,,x,,,,,,AZ,,,
9,3D,,Burritos,limes,,5,,,,x,,,,,,AZ,,,
9,3D,,Burritos,jalapenos,,2,,,x,,,,,,,AZ,,,
9,3D,,Burritos,peper jack cheese,,10 oz,,x,,,,,,,,,,,
9,3D,,Burritos,mole concentrate,,1/2 jar,,x,,,,,,,,CA,baja ranch,x,ana's bringing
9,3D,,Pudding,small tapioca pearls,,2 cups,,,,,x,,,,,CA,,,
9,3D,,Pudding,white sugar,,2 cups,,,,,,,,x,,CA,,,
9,3D,,Pudding,coconut milk,,3 cans,,,,,x,,,,,CA,,,
9,3D,,Pudding,shredded coconut,,2 cups,,,,,x,,,,,CA,,,
9,3D,,Pudding,almonds,,2 cups,,,,,x,,,,,CA,,,
,,,,,,,,,,,,,,,,,,,
10,1B,Fast: Oatmeal,,oatmeal,,6 cups,,,,,x,,,,,CA,costco,,
10,1B,Fast: Oatmeal,,granola,,10 cups,,,,,x,,,,x,CA,,,
10,1B,Fast: Oatmeal,,cream of wheat,,2 cups,,,,,x,,,,,CA,,,
10,1B,Fast: Oatmeal,,almond milk,,1 qt,,,,,x,,,,,CA,costco,,
10,1B,Fast: Oatmeal,,"milk, dried  ",,2 qts dry,,,,,,,,x,,CA,,,
10,1B,Fast: Oatmeal,,yogurt,,1 32oz tub,,x,,,,,,,,AZ?,,,
10,1B,Fast: Oatmeal,,peanut butter,,10 oz,,,,,,,,x,,CA,costco,,
10,1B,Fast: Oatmeal,,nutella,,10 oz,,,,,,,,x,,CA,,,
10,1B,Fast: Oatmeal,,honey,,5 oz,,,,,,,,x,,CA,costco,,
10,1B,Fast: Oatmeal,,white english muffins,,12,,,,,,x,,,,AZ,,,
10,1B,Fast: Oatmeal,,craisins,,1/2  lb,,,,x,,,,,,CA,costco,,
10,1B,Fast: Oatmeal,,papaya,,1,,,,x,,,,,,AZ,,,
10,1B,Fast: Oatmeal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
10,1B,Fast: Oatmeal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
10,1B,Fast: Oatmeal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
10,1B,Fast: Oatmeal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
10,1B,Fast: Oatmeal,,brown sugar,,2 cups,,,,,,,,x,,CA,,,
10,1B,Fast: Oatmeal,,"cinnamon, nutmeg",,3 tablespoons,,,,,,,,x,,CA,,,
10,1B,Fast: Oatmeal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
10,2L,Deli Bar,,sliced breads,,~40 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
10,2L,Deli Bar,,tortillas,,16,,,,,,x,,,,AZ,,, (good kind aka. non-mission brand)
10,2L,Deli Bar,,red onion,,1 large,,,x,,,,,,,AZ,,,
10,2L,Deli Bar,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
10,2L,Deli Bar,,spicy mustard,,1/2 jar,,x,,,,,,,,CA,,,
10,2L,Deli Bar,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
10,2L,Deli Bar,,iceburg lettuce,,1/2 head,,x,,,,,,,,AZ,,,
10,2L,Deli Bar,,mayonaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
10,2L,Deli Bar,,peanut butter,,16 oz,,,,,x,,,,,CA,TJ's,,
10,2L,Deli Bar,,jam,,16 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
10,2L,Deli Bar,,oranges,,5,,,x,,,,,,,AZ,,,
10,2L,Deli Bar,,tomatoes,,4 large,,x,,,,,,,,AZ,,,
10,2L,Deli Bar,,apples,,4,,,x,,,,,,,AZ,,,
10,2L,Deli Bar,,trader joe's peanutbutter filled pretzels,,1 bag,,,,,,,x,,,CA,TJ's,,
10,2L,Deli Bar,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
10,2L,Deli Bar,,salame log,,1 small,,x,,,,,,,,AZ,,,"Unsliced/Let's try to buy sustainably raised meat, please."
10,2L,Deli Bar,,"marinated, baked tofu ",,3 packages),,x,,,,,,,,AZ,TJ's/whofo,,(e.g. wildwood)
10,2L,Deli Bar,,carrots,,1 bunch small carrots,,x,,,,,,,,AZ,,,
,,,,,,,,,,,,,,,,,,,
10,3D,,Chana Marsala,chick peas,,6 cups dry,,,,,x,,,,,CA,,,
10,3D,,Chana Marsala,onion,,3,,,x,,,,,,,AZ,,,
10,3D,,Chana Marsala,garlic,,7 cloves,,,x,,,,,,,AZ,,,
10,3D,,Chana Marsala,garam marsala powder,,cond,,,,,,,,x,,CA,,,
10,3D,,Chana Marsala,curry powder,,cond,,,,,,,,x,,CA,,,
10,3D,,Chana Marsala,ground cummin,,cond,,,,,,,,x,,CA,,,
10,3D,,Chana Marsala,ground coriander,,cond,,,,,,,,x,,CA,,,
10,3D,,Chana Marsala,chili powder,,cond,,,,,,,,x,,CA,,,
10,3D,,Chana Marsala,tumeric,,cond,,,,,,,,x,,CA,,,
10,3D,,Chana Marsala,diced tomatoes,,1 20 oz can,,,,,x,,,,,CA,,,
10,3D,,Chana Marsala,lemon,,2,,,,,,,,,,AZ,,,
10,3D,,Cauliflower Potato Side,cauliflower,,2,,x,,,,,,,,AZ,,,
10,3D,,Cauliflower Potato Side,potatoes,,9,,,x,,,,,,,AZ,,,
10,3D,,Rice,brown rice,,6 cups dry,,,,,x,,,,,CA,,,
10,3D,,,powdered ginger,,cond,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
11,1B,Slow,Pancakes,bob's red mill buttermilk pancake mix,,3 x 26 oz pkg,,,,,x,,,,,CA,WF (or there might be a TJ equiv),,
11,1B,Slow,Pancakes,oil for pancakes,,1 cup,,,,,,,,x,,CA,Costco,,
11,1B,Slow,Pancakes,eggs,,16,,x,,,,,,,,AZ,,,
11,1B,Slow,Pancakes,dry milk,,10 cups rehydrated,,,,,x,,,,,CA,Costco,,
11,1B,Slow,Pancakes,maple syrup,,32 oz,,,,,,,,x,,CA,Costco or TJ,,
11,1B,Slow,Pancakes,chocolate chips or m&ms,,2 lb bag,,,,,,,x,,,CA,Costco,,
11,1B,Slow,Pancakes,plain yogurt,,64 oz,,x,,,,,,,,AZ,,,
11,1B,Slow,Pancakes,canned blueberries,,32 oz,,,,,x,,,,,CA,Costco?,,"if available -- otherwise, peaches?"
